item_type,title,creators,first_name,last_name,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies
book,"Would You Rather? (Red Fox Picture Books)","John Burningham",John,Burningham,9780099200413,0099200414,"Would you rather drink snail squash or eat mashed worms? Help a witch make stew? Tickle a monkey? Or maybe - if you could really be anyone or do anything in the world - would you rather just be . . . you?","Red Fox",1994-11-15,,,,,32,,,,,,,,,,,,,2026-01-05,1
book,"Frankenstein se llava el pastel (Spanish Edition)",Agapea,Agapea,Agapea,9786074006100,6074006105,"The Bride of Frankenstein meets Adam Rex and the results are hilarious! In this follow-up to Frankenstein Makes a Sandwich, readers are invited to Frankenstein's wedding. The guest list includes Edgar Allan Poe, Dracula, and now you.",Alianza,1900-01-01,,,,,40,,,,,,,,,,,,,2026-01-05,1
book,"Vamos a Cazar UN Oso/Were Going on a Bear Hunt (Spanish Edition)","Michael Rosen",Michael,Rosen,9789802571079,9802571075,"Book by Rosen, Michael","Ediciones Ekare",,,,,,36,,,,,,,,,,,,,2026-01-05,1
book,"El moco (Rosa y manzana) (Spanish Edition)



(Spanish) Hardcover – January 1, 2005",,,,9788489804937,8489804931,,,,,,,,,,,,,,,,,,,,,2026-01-05,1
book,"La casa encantada (Spanish Edition)","Kazuno  Kohara",Kazuno,Kohara,9788494154928,8494154923,"Una enorme y vieja casa en las afueras de la ciudad esconde una espeluznante sorpresa!  Pero quien teme a unos cuantos fantasmas? Esta ninita desde luego que no! Un divertido cuento con encantadoras ilustraciones en el que una nina practica y resolutiva domina los miedos y los transforma en cortinas y manteles.       /    At the edge of town lives a clever girl with a spooky problem: Her house is haunted! Luckily, shes a witch and knows a little something about taking care of ghosts. She catches them, puts them in the washing machine, airs them out to dry, and gives them new lives. Illustrations in dynamic orange, black and white, bring these spooky ghosts to life.",Obelisco,2014-04-30,,,,,32,,,,,,,,,,,,,2026-01-05,1
book,"Mi mono y yo (Spanish Edition)","Emily Gravett",Emily,Gravett,9788416117789,8416117780,"A esta ninita y a su monito de peluche les encanta jugar a imitar a diferentes animales, hacer lo que ellos hacen: desde saltar como los canguros, a caminar de forma patosa como los pinguinos. Abre el libro y juega con ellos! Sabes que animal estan imitando ahora?    /    A mischievous little girl and her toy monkey swing irresistibly through the pages of this playful book. Young children will love guessing what animal they are pretending to be, before shouting out the answers as the pages are turned to reveal the real creatures.",Obelisco,2016-08-31,,,,,32,,,,,,,,,,,,,2026-01-05,1
book,"Cuidado con la rana (Spanish Edition)



(Spanish) Hardcover – June 30, 2011",,,,9788426136718,8426136710,,,,,,,,,,,,,,,,,,,,,2026-01-05,1
book,"Alicia para los pequeños",,,,9788426398567,8426398561,,,,,,,,72,,,,,,,,,,,,,2026-01-05,1
book,"Los carpinchos (Spanish Edition)



(Spanish) Hardcover – February 1, 2020","Alfredo Soderguit",Alfredo,Soderguit,9788412060089,8412060083,"Every day is the same, there’s plenty of food, and everyone in the chicken coop knows their place. That is, until the capybaras arrive. They are many, they are big, they are different, they are here. They are allowed to stay if they can agree to follow the rules of the coop. Will an unlikely alliance form between the two groups?",,2020-01-01,,,,,,,,,,,,,,,,,,2026-01-05,1
book,"Yo quiero mi gorro (Spanish Edition)","Jon Klassen, Jesús Ortiz Pérez del Molino",Jon,Klassen,9788493892739,8493892734,,"Editorial Milrazones",2012-04-01,,,,,36,,,,,,,,,,,,,2026-01-05,1
book,Chancho-Pancho,"Maurice Sendak",Maurice,Sendak,9788484649205,8484649202,,"Kalandraka Editora",2015-06-01,,,,,,,,,,,,,,,,,,2026-01-05,1
book,"Si yo fuera mayor...","JANIKOVSZKY EVA",JANIKOVSZKY,EVA,9788494313479,8494313479,"Rare book: Price in USD","COLOFON, S.A.",2014-01-01,,,,,,,,,,,,,,,,,,2026-01-05,1
book,Domingo,"Marcelo Tolentino, Esther Rubio Muñoz",Marcelo,Tolentino,9788419475336,8419475335,"Los domingos todo transcurre de la misma forma en la familia de Martín. La tranquila rutina de sus padres y sus abuelos es siempre igual y predecible. ¡Pero este domingo Martín quiere hacer algo diferente! ¡Ni más ni menos que dar la vuelta al mundo! Su fiel perro, Fubá, será su único compañero de expedición. Juntos cruzarán desiertos abrasadores y helados parajes, se enfrentarán a peligros, a monstruos y piratas. Aquel domingo aburrido para el niño se transforma en una diversión inesperada. Hasta que, al fin, la nostalgia le hará regresar. Pero entonces, al volver a casa y relatar sus emocionantes aventuras a la familia… Exquisitos dibujos realistas de hermosos colores y una tipografía de fácil lectura, componen este álbum delicado y onírico, del artista brasileño.. Un cuento que habla de la imaginación desbordante de los niños y de la incondicional amistad que encuentran en sus mascotas.","Editorial Kókinos",2023-06-28,,,,,60,,,,,,,,,,,,,2026-01-05,1
book,"El ratoncito Valiente","Michael Catchpool, Jill Newton",Michael,Catchpool,9788487680878,8487680879,,"Artime Ediciones Infantil",2006-01-01,,,,,32,,,,,,,,,,,,,2026-01-05,1
book,"EL GRAN LIBRO VERDE (Spanish Edition)","MAURICE GRAVES, ROBERT &amp; SENDAK",MAURICE,SENDAK,9788484706199,8484706192,"Un niño llamado Jack descubre un gran libro verde de magia en el ático y aprende todo tipo de hechizos: ¡hechizos para cambiar el aspecto de las cosas, hechizos para hacerlo viejo y gris o desaparecer por completo! Jack aprovecha al máximo sus nuevos poderes mágicos, y su pobre tía y tío están bastante desconcertados. Este cuento encantador del conocido autor británico Robert Graves está magistralmente ilustrado por Maurice Sendak, siete veces galardonado con el Premio Caldecott de Honor, ganador del National Book Award y el creador ganador de la Medalla Caldecott de Where the Wild Things Are.","Editorial Corimbo S.L.",2020-11-11,,,,,64,,,,,,,,,,,,,2026-01-05,1
book,"Oliver Button Es Una Nena","Tomie dePaola",Tomie,dePaola,9788484641971,848464197X,"This is the charming story of a little boy whose classmates make fun of him for wanting to dance instead of playing football. He doesn't let the other kids' taunts deter him from his passion and eventually wins everyone's admiration.",,2020-02-01,,,,,,,,,,,,,,,,,,2026-01-05,1
